,ticker,current_price,ml_prob,fund_score,sentiment,composite,accuracy,week_return,month_return,top_signals,fundamentals
1,HCLTECH.NS,1364.4000244140625,0.8868,0.6771,0.0,0.7465,0.5778,4.01,1.88,"['ema_9', 'price_vs_ema200', 'rsi_14']","{'pe_ratio': 22.470356, 'pb_ratio': 4.825462, 'roe': 0.23188, 'debt_to_equity': 9.747, 'revenue_growth': 0.074, 'earnings_growth': -0.159, 'profit_margin': 0.13024999, 'current_ratio': 2.21, 'market_cap': 3691592286208, 'div_yield': 3.96}"
2,ICICIBANK.NS,1233.800048828125,0.878,0.6651,0.0,0.7385,0.7111,-1.3,-10.9,"['ema_9', 'bb_upper', 'obv']","{'pe_ratio': 16.834494, 'pb_ratio': 2.5301661, 'roe': 0.16798, 'debt_to_equity': nan, 'revenue_growth': 0.03, 'earnings_growth': -0.037, 'profit_margin': 0.27513, 'current_ratio': nan, 'market_cap': 8833807155200, 'div_yield': 0.89}"
3,HDFCBANK.NS,756.2000122070312,0.7939,0.7833,0.0,0.7319,0.8,-5.26,-16.95,"['bb_upper', 'obv', 'atr_14']","{'pe_ratio': 16.864407, 'pb_ratio': 2.0591326, 'roe': 0.14015001, 'debt_to_equity': nan, 'revenue_growth': 0.264, 'earnings_growth': 0.115, 'profit_margin': 0.26187, 'current_ratio': nan, 'market_cap': 11640412045312, 'div_yield': 1.45}"
4,TCS.NS,2389.800048828125,0.6206,0.739,0.0,0.632,0.0667,1.43,-7.15,"['monthly_return', 'vol_sma_20', 'weekly_return']","{'pe_ratio': 18.115524, 'pb_ratio': 7.617451, 'roe': 0.42635, 'debt_to_equity': 9.444, 'revenue_growth': 0.049, 'earnings_growth': -0.139, 'profit_margin': 0.18295999, 'current_ratio': 2.525, 'market_cap': 8646505267200, 'div_yield': 2.64}"
5,SBIN.NS,1019.5,0.5932,0.7635,0.0,0.6256,0.6,-2.8,-16.66,"['obv', 'ema_21', 'ema_200']","{'pe_ratio': 11.098411, 'pb_ratio': 1.5895883, 'roe': nan, 'debt_to_equity': nan, 'revenue_growth': 0.145, 'earnings_growth': 0.093, 'profit_margin': 0.22498, 'current_ratio': nan, 'market_cap': 9410614132736, 'div_yield': 1.56}"
6,WIPRO.NS,191.60000610351562,0.6005,0.6331,0.0,0.5902,0.2667,1.69,-4.27,"['price_vs_ema200', 'obv', 'ema_9']","{'pe_ratio': 15.17023, 'pb_ratio': 2.2380042, 'roe': 0.15195, 'debt_to_equity': 22.031, 'revenue_growth': 0.055, 'earnings_growth': -0.072, 'profit_margin': 0.14594, 'current_ratio': 2.185, 'market_cap': 2008954699776, 'div_yield': 8.87}"
7,MARUTI.NS,12389.0,0.5456,0.6981,0.0,0.5822,0.8667,-1.67,-17.0,"['ema_200', 'volatility_20', 'price_vs_ema200']","{'pe_ratio': 26.109589, 'pb_ratio': 3.9051197, 'roe': nan, 'debt_to_equity': 0.1, 'revenue_growth': 0.287, 'earnings_growth': 0.041, 'profit_margin': 0.08693, 'current_ratio': nan, 'market_cap': 3895133208576, 'div_yield': 1.09}"
8,BHARTIARTL.NS,1843.9000244140625,0.5763,0.5894,0.0,0.565,0.5111,0.93,-5.0,"['bb_upper', 'ema_50', 'ema_200']","{'pe_ratio': 36.498417, 'pb_ratio': 8.998322, 'roe': 0.23125, 'debt_to_equity': 117.095, 'revenue_growth': 0.196, 'earnings_growth': -0.553, 'profit_margin': 0.14937, 'current_ratio': 0.45, 'market_cap': 11232065093632, 'div_yield': 0.87}"
9,INFY.NS,1269.699951171875,0.4782,0.7146,0.0,0.5535,0.5556,4.01,-0.45,"['ema_9', 'weekly_return', 'ema_21']","{'pe_ratio': 17.513103, 'pb_ratio': 5.8994865, 'roe': 0.32683, 'debt_to_equity': 10.531, 'revenue_growth': 0.032, 'earnings_growth': -0.053, 'profit_margin': 0.16153999, 'current_ratio': 1.812, 'market_cap': 5137977311232, 'div_yield': 3.54}"
10,BAJFINANCE.NS,843.7999877929688,0.6128,0.4567,0.0,0.5434,0.7556,1.39,-17.56,"['monthly_return', 'macd', 'ema_9']","{'pe_ratio': 29.156876, 'pb_ratio': 5.077382, 'roe': nan, 'debt_to_equity': 310.294, 'revenue_growth': 0.064, 'earnings_growth': -0.068, 'profit_margin': 0.4368, 'current_ratio': nan, 'market_cap': 5245352542208, 'div_yield': 0.52}"
